Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Cottonseed",,"14800.00",,,,,,,
,,,,,,"Beer of barley",,"111280.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Cotton lint",,"7400.00",,,,,,,
,,,,,,"Cotton lint",,"15000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"29000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"70000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"23250.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"68200.00",,,,,,,
,,,,,,"Beer of barley",,"326502.48",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"113001.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"421828.00",,,,,,,
,,,,,,"Beer of barley",,"875474.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3.00",,,,,,,
,,,,,,"Molasses",,"1.65",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"4700.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"277189.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"908482.00",,,,,,,
,,,,,,"Beer of barley",,"120818.00",,,,,,,
,,,,,,"Cotton lint",,"2400.00",,,,,,,
,,,,,,"Cotton lint",,"6302.00",,,,,,,
,,,,,,"Cottonseed",,"12754.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"20628.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"96000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"320997.00",,,,,,,
,,,,,,"Beer of barley",,"186000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"47000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"992000.00",,,,,,,
,,,,,,"Molasses",,"362000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Cottonseed",,"584000.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"2050.00",,,,,,,
,,,,,,"Cotton lint",,"365000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Molasses",,"140853.00",,,,,,,
,,,,,,"Beer of barley",,"56000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"10770.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cottonseed",,"15258.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"247268.00",,,,,,,
,,,,,,"Palm kernels",,"3000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Wine",,"749.25",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"40000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"58000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"190000.00",,,,,,,
,,,,,,"Beer of barley",,"335712.79",,,,,,,
,,,,,,"Cotton lint",,"20000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"401000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Molasses",,"130185.00",,,,,,,
,,,,,,"Beer of barley",,"14750.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"20046.60",,,,,,,
,,,,,,"Beer of barley",,"338963.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"69185.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Molasses",,"854000.00",,,,,,,
,,,,,,"Beer of barley",,"1802400.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3966000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"6944000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"10000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"18535.00",,,,,,,
,,,,,,"Molasses",,"7000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"570.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Beer of barley",,"81000.00",,,,,,,
,,,,,,"Cotton lint",,"334.00",,,,,,,
,,,,,,"Cottonseed",,"400.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"2000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"11692300.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Wine",,"970783.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"931678.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3748139.00",,,,,,,
,,,,,,"Cottonseed",,"4151.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"58900.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"30000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Cotton lint",,"2722.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"370000.00",,,,,,,
,,,,,,"Wine",,"427650.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"194000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"118629.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"197000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"346134.00",,,,,,,
,,,,,,"Cottonseed",,"18.00",,,,,,,
,,,,,,"Molasses",,"1.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2.00",,,,,,,
,,,,,,"Beer of barley",,"1700.00",,,,,,,
,,,,,,"Cotton lint",,"10.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"3945.50",,,,,,,
,,,,,,"Molasses",,"29785.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"63181.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"79500.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"622909.00",,,,,,,
,,,,,,"Molasses",,"268845.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Palm kernels",,"2640.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"41602.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"27951.00",,,,,,,
,,,,,,"Palm kernels",,"40000.00",,,,,,,
,,,,,,"Cotton lint",,"241.00",,,,,,,
,,,,,,"Cottonseed",,"950.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Beer of barley",,"1300.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"15000.00",,,,,,,
,,,,,,"Molasses",,"7500.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Beer of barley",,"2730.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cottonseed",,"3000.00",,,,,,,
,,,,,,"Cotton lint",,"1500.00",,,,,,,
,,,,,,"Palm kernels",,"10000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Molasses",,"119000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"224500.00",,,,,,,
,,,,,,"Beer of barley",,"9516.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cotton lint",,"825.00",,,,,,,
,,,,,,"Cottonseed",,"1500.00",,,,,,,
,,,,,,"Molasses",,"24000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"35228.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"54490.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"189566.00",,,,,,,
,,,,,,"Molasses",,"65000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"16000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"5140.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"2845.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"904517.00",,,,,,,
,,,,,,"Molasses",,"202494.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"326280.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"492099.00",,,,,,,
,,,,,,"Beer of barley",,"2000.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Beer of barley",,"149170.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"9099000.00",,,,,,,
,,,,,,"Molasses",,"3663000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"2204000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"1084900.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"82787.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2085796.00",,,,,,,
,,,,,,"Molasses",,"902000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"319049.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Cottonseed",,"15591.06",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"7795.53",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"106000.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"204300.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Molasses",,"297000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"712000.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cotton lint",,"7095.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Molasses",,"7600.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"23000.00",,,,,,,
,,,,,,"Beer of barley",,"47000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"14200.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Molasses",,"68000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Beer of barley",,"456000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"242000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Beer of barley",,"53638.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Cottonseed",,"97700.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"16995.00",,,,,,,
,,,,,,"Cotton lint",,"59200.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"68.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"7587490.00",,,,,,,
,,,,,,"Beer of barley",,"1150257.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1866800.00",,,,,,,
,,,,,,"Molasses",,"700000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"45.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"72766.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"69970.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"188985.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"52730.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"939000.00",,,,,,,
,,,,,,"Molasses",,"135000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Beer of barley",,"5492200.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Wine",,"0.00",,,,,,,
,,,,,,"Beer of barley",,"4564.00",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"423913.00",,,,,,,
,,,,,,"Beer of barley",,"307500.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"7616.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"15710.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Molasses",,"143433.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Cotton lint",,"4000.00",,,,,,,
,,,,,,"Beer of barley",,"800.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"8000.00",,,,,,,
,,,,,,"Beer of barley",,"14266.40",,,,,,,
,,,,,,"Molasses",,"1725.66",,,,,,,
,,,,,,"Wine",,"9320.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"4000.00",,,,,,,
,,,,,,"Beer of barley",,"18000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"5000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Beer of barley",,"11700.00",,,,,,,
,,,,,,"Palm kernels",,"6400.00",,,,,,,
,,,,,,"Molasses",,"2250.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Wine",,"54.00",,,,,,,
,,,,,,"Cotton lint",,"10049.00",,,,,,,
,,,,,,"Beer of barley",,"24026.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"107145.00",,,,,,,
,,,,,,"Molasses",,"42000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"1000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Cottonseed",,"16567.00",,,,,,,
,,,,,,"Wine",,"7900.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Cotton lint",,"5449.00",,,,,,,
,,,,,,"Cottonseed",,"14041.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Molasses",,"68000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"172024.00",,,,,,,
,,,,,,"Beer of barley",,"7761.00",,,,,,,
,,,,,,"Beer of barley",,"98841.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"1311218.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"70000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"98000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"18098.00",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Molasses",,"7600.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Cottonseed",,"120000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"74933.00",,,,,,,
,,,,,,"Beer of barley",,"13503.00",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Wine",,"2030.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"6365.00",,,,,,,
,,,,,,"Molasses",,"6628.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Beer of barley",,"24884.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"691134.00",,,,,,,
,,,,,,"Molasses",,"191948.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cotton lint",,"263239.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"413746.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"181017.94",,,,,,,
,,,,,,"Palm kernels",,"3000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"1527310.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3905684.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"3148207.00",,,,,,,
,,,,,,"Beer of barley",,"5040.00",,,,,,,
,,,,,,"Cottonseed",,"12.00",,,,,,,
,,,,,,"Cotton lint",,"6.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"425594.00",,,,,,,
,,,,,,"Molasses",,"178543.85",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"10700.00",,,,,,,
,,,,,,"Wine",,"45400.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"23000.00",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Beer of barley",,"116630.80",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Cotton lint",,"9000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"19000.00",,,,,,,
,,,,,,"Molasses",,"7336.88",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"18000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"9800.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"25840.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"62639.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"53882.00",,,,,,,
,,,,,,"Molasses",,"35872.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cottonseed",,"0.00",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"0.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"0.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"0.00",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"13000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"28482.00",,,,,,,
,,,,,,"Beer of barley",,"3699.00",,,,,,,
,,,,,,"Beer of barley",,"1755000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"290000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"1064000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Beer of barley",,"4900.00",,,,,,,
